Arc Floor One,11/26/2022,03:09 PM,Open,45,11/27/2022,09:11 AM,23,09:49 AM,33,11/27/2022,09:49 AM,33
North Court,2,08:14 PM,2,08:14 PM,Open,2,08:14 PM,2,09:20 PM,5,09:20 PM,5
Recreation Pool,1,10:03 AM,1,08:51 PM,Closed,0,08:51 PM,0,08:51 PM,0,08:51 PM,0
Competition Pool,19,10:03 AM,19,08:51 PM,Closed,0,08:51 PM,0,08:51 PM,0,08:51 PM,0
Arc Express,8,08:22 PM,17,08:22 PM,Open,17,09:05 PM,9,09:05 PM,9,09:29 PM,0
Spa,0,03:19 PM,0,03:19 PM,Closed,0,03:19 PM,0,03:19 PM,0,03:19 PM,0
Aquaplex Pool Deck,3,10:03 AM,3,08:51 PM,Closed,0,08:51 PM,0,08:51 PM,0,08:51 PM,0
Tennis Courts,0,10:03 AM,0,10:03 AM,Closed,0,10:03 AM,0,10:03 AM,0,10:03 AM,0
Arc Floor One,10:27 PM,83,11:11 PM,53,12/06/2022,12:28 AM,23,07:25 AM,40,12/06/2022,07:25 AM,40
Climbing,09:20 PM,0,09:20 PM,0,12/05/2022,09:20 PM,0,09:20 PM,0,12/05/2022,09:20 PM,0
Arc Olympic Lifting Zones,10:27 PM,37,11:11 PM,37,12/06/2022,12:28 AM,14,07:25 AM,19,12/06/2022,07:25 AM,19
Arc Floor Two,10:27 PM,54,11:11 PM,58,12/06/2022,12:28 AM,8,07:25 AM,17,12/06/2022,07:25 AM,17
South Court,10:27 PM,0,11:11 PM,12,12/06/2022,12:28 AM,0,07:25 AM,0,12/06/2022,07:25 AM,0
Four Court Gym,10:27 PM,19,11:11 PM,11,12/06/2022,12:28 AM,3,07:25 AM,1,12/06/2022,07:25 AM,1
North Court,10:27 PM,8,11:11 PM,0,12/06/2022,12:28 AM,0,07:25 AM,0,12/06/2022,07:25 AM,0
Recreation Pool,08:51 PM,0,08:51 PM,0,12/05/2022,08:51 PM,0,08:51 PM,0,12/05/2022,08:51 PM,0
Competition Pool,08:51 PM,0,08:51 PM,0,12/05/2022,08:51 PM,0,08:51 PM,0,12/05/2022,08:51 PM,0
Arc Express,09:29 PM,0,09:29 PM,0,12/05/2022,09:29 PM,0,09:29 PM,0,12/06/2022,08:28 AM,11
Spa,03:19 PM,0,03:19 PM,0,12/03/2022,03:19 PM,0,03:19 PM,0,12/03/2022,03:19 PM,0
Aquaplex Pool Deck,08:51 PM,0,08:51 PM,0,12/05/2022,08:51 PM,0,08:51 PM,0,12/05/2022,08:51 PM,0
Tennis Courts,10:03 AM,0,10:03 AM,0,12/05/2022,10:03 AM,0,10:03 AM,0,12/05/2022,10:03 AM,0
Arc Floor One,07:25 AM,40,09:07 AM,57,09:07 AM,57,09:07 AM,57,12/06/2022,10:17 AM,65,10:17 AM
Climbing,09:20 PM,0,09:20 PM,0,09:20 PM,0,09:20 PM,0,12/05/2022,09:20 PM,0,09:20 PM
Arc Olympic Lifting Zones,07:25 AM,19,09:07 AM,34,09:07 AM,34,09:07 AM,34,12/06/2022,10:17 AM,36,10:17 AM
Arc Floor Two,07:25 AM,17,09:07 AM,31,09:07 AM,31,09:07 AM,31,12/06/2022,10:17 AM,37,10:17 AM
South Court,07:25 AM,0,09:07 AM,0,09:07 AM,0,09:07 AM,0,12/06/2022,10:17 AM,0,10:17 AM
Four Court Gym,07:25 AM,1,09:07 AM,2,09:07 AM,2,09:07 AM,2,12/06/2022,10:17 AM,5,10:17 AM
North Court,07:25 AM,0,09:07 AM,0,09:07 AM,0,09:07 AM,0,12/06/2022,10:17 AM,0,10:17 AM
Recreation Pool,08:51 PM,0,08:51 PM,0,08:51 PM,0,08:51 PM,0,12/06/2022,10:15 AM,4,10:15 AM
Competition Pool,08:51 PM,0,08:51 PM,0,08:51 PM,0,08:51 PM,0,12/06/2022,10:15 AM,8,10:15 AM
Arc Express,08:58 AM,8,08:58 AM,8,09:29 AM,13,09:57 AM,14,12/06/2022,09:57 AM,14,10:30 AM
Spa,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,12/03/2022,03:19 PM,0,03:19 PM
Aquaplex Pool Deck,08:51 PM,0,08:51 PM,0,08:51 PM,0,08:51 PM,0,12/06/2022,10:15 AM,1,10:15 AM
Tennis Courts,10:03 AM,0,10:03 AM,0,10:03 AM,0,10:03 AM,0,12/05/2022,10:03 AM,0,10:03 AM
Arc Floor One,65,10:17 AM,65,10:17 AM,65,12:04 PM,88,12:04 PM,01:14 PM,112,12/06/2022,01:14 PM
Climbing,0,09:20 PM,0,09:20 PM,0,09:20 PM,0,09:20 PM,09:20 PM,0,12/05/2022,09:20 PM
Arc Olympic Lifting Zones,36,10:17 AM,36,10:17 AM,36,12:04 PM,39,12:04 PM,01:14 PM,47,12/06/2022,01:14 PM
Arc Floor Two,37,10:17 AM,37,10:17 AM,37,12:04 PM,55,12:04 PM,01:14 PM,78,12/06/2022,01:14 PM
South Court,0,10:17 AM,0,10:17 AM,0,10:17 AM,0,10:17 AM,01:14 PM,3,12/06/2022,01:14 PM
Four Court Gym,5,10:17 AM,5,10:17 AM,5,10:17 AM,5,10:17 AM,01:14 PM,12,12/06/2022,01:14 PM
North Court,0,10:17 AM,0,10:17 AM,0,10:17 AM,0,10:17 AM,01:14 PM,1,12/06/2022,01:14 PM
Recreation Pool,4,11:03 AM,2,11:03 AM,2,11:58 AM,1,11:58 AM,11:58 AM,1,12/06/2022,01:26 PM
Competition Pool,8,11:03 AM,4,11:03 AM,4,11:58 AM,4,11:58 AM,11:58 AM,4,12/06/2022,01:26 PM
Arc Express,13,10:30 AM,13,11:26 AM,21,11:26 AM,21,12:08 PM,12:08 PM,21,12/06/2022,12:08 PM
Spa,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,03:19 PM,0,12/03/2022,03:19 PM
Aquaplex Pool Deck,1,11:03 AM,0,11:03 AM,0,11:58 AM,1,11:58 AM,11:58 AM,1,12/06/2022,01:26 PM
Tennis Courts,0,10:03 AM,0,10:03 AM,0,10:03 AM,0,10:03 AM,10:03 AM,0,12/06/2022,01:26 PM
Arc Floor One,112,01:14 PM,112,02:12 PM,95,02:12 PM,95,02:12 PM,95,03:24 PM,91,03:24 PM
Climbing,0,09:20 PM,0,09:20 PM,0,09:20 PM,0,09:20 PM,0,09:20 PM,0,09:20 PM
Arc Olympic Lifting Zones,47,01:14 PM,47,02:12 PM,40,02:12 PM,40,02:12 PM,40,03:24 PM,39,03:24 PM
Arc Floor Two,78,01:14 PM,78,02:12 PM,82,02:12 PM,82,02:12 PM,82,03:24 PM,70,03:24 PM
South Court,3,01:14 PM,3,02:12 PM,7,02:12 PM,7,02:12 PM,7,03:24 PM,11,03:24 PM
Four Court Gym,12,01:14 PM,12,02:12 PM,4,02:12 PM,4,02:12 PM,4,03:24 PM,12,03:24 PM
North Court,1,01:14 PM,1,02:12 PM,0,02:12 PM,0,02:12 PM,0,03:24 PM,4,03:24 PM
Recreation Pool,2,01:26 PM,2,01:26 PM,2,01:26 PM,2,03:12 PM,1,03:12 PM,1,03:12 PM
Competition Pool,1,01:26 PM,1,01:26 PM,1,01:26 PM,1,03:12 PM,23,03:12 PM,23,03:12 PM
Arc Express,21,02:04 PM,23,02:04 PM,23,03:00 PM,31,03:00 PM,31,03:00 PM,31,04:06 PM
Spa,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM
Aquaplex Pool Deck,1,01:26 PM,1,01:26 PM,1,01:26 PM,1,03:12 PM,3,03:12 PM,3,03:12 PM
Tennis Courts,0,01:26 PM,0,01:26 PM,0,01:26 PM,0,01:26 PM,0,01:26 PM,0,01:26 PM
Arc Floor One,91,03:24 PM,91,03:24 PM,91,03:24 PM,91,12/06/2022,05:22 PM,137,05:22 PM,137
Climbing,0,09:20 PM,0,09:20 PM,0,09:20 PM,0,12/06/2022,05:22 PM,19,05:22 PM,19
Arc Olympic Lifting Zones,39,03:24 PM,39,03:24 PM,39,03:24 PM,39,12/06/2022,05:22 PM,76,05:22 PM,76
Arc Floor Two,70,03:24 PM,70,03:24 PM,70,03:24 PM,70,12/06/2022,05:22 PM,84,05:22 PM,84
South Court,11,03:24 PM,11,03:24 PM,11,03:24 PM,11,12/06/2022,05:22 PM,8,05:22 PM,8
Four Court Gym,12,03:24 PM,12,03:24 PM,12,03:24 PM,12,12/06/2022,05:22 PM,28,05:22 PM,28
North Court,4,03:24 PM,4,03:24 PM,4,03:24 PM,4,12/06/2022,05:22 PM,2,05:22 PM,2
Recreation Pool,1,03:12 PM,1,04:40 PM,0,04:40 PM,0,12/06/2022,04:40 PM,0,04:40 PM,0
Competition Pool,23,03:12 PM,23,04:40 PM,1,04:40 PM,1,12/06/2022,04:40 PM,1,04:40 PM,1
Arc Express,33,04:31 PM,30,04:31 PM,30,05:04 PM,26,12/06/2022,05:04 PM,26,05:36 PM,22
Spa,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,12/03/2022,03:19 PM,0,03:19 PM,0
Aquaplex Pool Deck,3,03:12 PM,3,04:40 PM,0,04:40 PM,0,12/06/2022,04:40 PM,0,04:40 PM,0
Tennis Courts,0,01:26 PM,0,01:26 PM,0,01:26 PM,0,12/06/2022,01:26 PM,0,01:26 PM,0
Arc Floor One,05:22 PM,137,06:07 PM,160,07:05 PM,115,07:05 PM,115,07:05 PM,115,08:16 PM,120
Climbing,05:22 PM,19,06:07 PM,20,07:05 PM,34,07:05 PM,34,07:05 PM,34,08:16 PM,7
Arc Olympic Lifting Zones,05:22 PM,76,06:07 PM,82,07:05 PM,63,07:05 PM,63,07:05 PM,63,08:16 PM,56
Arc Floor Two,05:22 PM,84,06:07 PM,91,07:05 PM,100,07:05 PM,100,07:05 PM,100,08:16 PM,104
South Court,05:22 PM,8,06:07 PM,6,07:05 PM,10,07:05 PM,10,07:05 PM,10,08:16 PM,18
Four Court Gym,05:22 PM,28,06:07 PM,30,07:05 PM,49,07:05 PM,49,07:05 PM,49,08:16 PM,36
North Court,05:22 PM,2,06:07 PM,3,07:05 PM,9,07:05 PM,9,07:05 PM,9,08:16 PM,3
Recreation Pool,04:40 PM,0,04:40 PM,0,04:40 PM,0,04:40 PM,0,07:57 PM,4,07:57 PM,4
Competition Pool,05:58 PM,2,05:58 PM,2,05:58 PM,2,05:58 PM,2,07:57 PM,14,07:57 PM,14
Arc Express,06:02 PM,19,06:02 PM,19,06:59 PM,19,07:27 PM,13,07:53 PM,11,07:53 PM,11
Spa,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,0
Aquaplex Pool Deck,04:40 PM,0,04:40 PM,0,04:40 PM,0,04:40 PM,0,04:40 PM,0,04:40 PM,0
Tennis Courts,05:58 PM,0,05:58 PM,0,05:58 PM,0,05:58 PM,0,07:57 PM,0,07:57 PM,0
Arc Floor One,08:16 PM,120,08:16 PM,120,08:16 PM,120,08:16 PM,Open,120,12/07/2022,06:11 AM,21
Climbing,08:16 PM,7,08:16 PM,7,08:16 PM,7,08:16 PM,Open,7,12/07/2022,06:11 AM,0
Arc Olympic Lifting Zones,08:16 PM,56,08:16 PM,56,08:16 PM,56,08:16 PM,Open,56,12/07/2022,06:11 AM,10
Arc Floor Two,08:16 PM,104,08:16 PM,104,08:16 PM,104,08:16 PM,Open,104,12/07/2022,06:11 AM,14
South Court,08:16 PM,18,08:16 PM,18,08:16 PM,18,08:16 PM,Open,18,12/07/2022,06:11 AM,0
Four Court Gym,08:16 PM,36,08:16 PM,36,08:16 PM,36,08:16 PM,Open,36,12/07/2022,06:11 AM,0
North Court,08:16 PM,3,08:16 PM,3,08:16 PM,3,08:16 PM,Open,3,12/07/2022,06:11 AM,0
Recreation Pool,07:57 PM,4,09:09 PM,0,09:09 PM,0,09:09 PM,Closed,0,12/06/2022,09:09 PM,0
Competition Pool,07:57 PM,14,09:09 PM,0,09:09 PM,0,09:09 PM,Closed,0,12/06/2022,09:09 PM,0
Arc Express,08:27 PM,22,08:27 PM,22,09:29 PM,14,10:04 PM,Closed,0,12/06/2022,10:04 PM,0
Spa,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,Closed,0,12/03/2022,03:19 PM,0
Aquaplex Pool Deck,04:40 PM,0,09:09 PM,0,09:09 PM,0,09:09 PM,Closed,0,12/06/2022,09:09 PM,0
Tennis Courts,07:57 PM,0,07:57 PM,0,07:57 PM,0,07:57 PM,Closed,0,12/06/2022,07:57 PM,0
Arc Floor One,07:03 AM,51,12/07/2022,08:13 AM,54,08:13 AM,54,08:13 AM,54,09:31 AM,62,10:01 AM
Climbing,07:03 AM,0,12/07/2022,07:03 AM,0,07:03 AM,0,07:03 AM,0,07:03 AM,0,07:03 AM
Arc Olympic Lifting Zones,07:03 AM,22,12/07/2022,08:13 AM,24,08:13 AM,24,08:13 AM,24,09:31 AM,29,10:01 AM
Arc Floor Two,07:03 AM,34,12/07/2022,08:13 AM,32,08:13 AM,32,08:13 AM,32,09:32 AM,41,10:01 AM
South Court,07:03 AM,0,12/07/2022,08:13 AM,0,08:13 AM,0,08:13 AM,0,09:32 AM,0,09:32 AM
Four Court Gym,07:03 AM,2,12/07/2022,08:13 AM,5,08:13 AM,5,08:13 AM,5,09:32 AM,3,09:32 AM
North Court,07:03 AM,0,12/07/2022,08:13 AM,0,08:13 AM,0,08:13 AM,0,09:32 AM,0,09:32 AM
Recreation Pool,09:09 PM,0,12/06/2022,09:09 PM,0,09:09 PM,0,09:09 PM,0,09:09 PM,0,09:09 PM
Competition Pool,09:09 PM,0,12/06/2022,09:09 PM,0,09:09 PM,0,09:09 PM,0,09:09 PM,0,09:09 PM
Arc Express,10:04 PM,0,12/07/2022,08:10 AM,0,08:31 AM,7,09:01 AM,11,09:38 AM,12,10:04 AM
Spa,03:19 PM,0,12/03/2022,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM
Aquaplex Pool Deck,09:09 PM,0,12/06/2022,09:09 PM,0,09:09 PM,0,09:09 PM,0,09:09 PM,0,09:09 PM
Tennis Courts,07:57 PM,0,12/06/2022,07:57 PM,0,07:57 PM,0,07:57 PM,0,07:57 PM,0,07:57 PM
Arc Floor One,71,12/07/2022,10:01 AM,71,10:01 AM,71,10:01 AM,71,10:01 AM,71,10:01 AM,71
Climbing,0,12/07/2022,07:03 AM,0,07:03 AM,0,07:03 AM,0,07:03 AM,0,07:03 AM,0
Arc Olympic Lifting Zones,29,12/07/2022,10:01 AM,29,10:01 AM,29,10:01 AM,29,10:01 AM,29,10:01 AM,29
Arc Floor Two,42,12/07/2022,10:01 AM,42,10:01 AM,42,10:01 AM,42,10:01 AM,42,10:01 AM,42
South Court,0,12/07/2022,09:32 AM,0,09:32 AM,0,09:32 AM,0,09:32 AM,0,09:32 AM,0
Four Court Gym,3,12/07/2022,09:32 AM,3,09:32 AM,3,09:32 AM,3,09:32 AM,3,09:32 AM,3
North Court,0,12/07/2022,09:32 AM,0,09:32 AM,0,09:32 AM,0,09:32 AM,0,09:32 AM,0
Recreation Pool,0,12/07/2022,10:17 AM,3,10:17 AM,3,10:59 AM,2,10:59 AM,2,10:59 AM,2
Competition Pool,0,12/07/2022,10:17 AM,6,10:17 AM,6,10:59 AM,7,10:59 AM,7,10:59 AM,7
Arc Express,15,12/07/2022,10:04 AM,15,10:33 AM,17,10:33 AM,17,11:03 AM,23,11:35 AM,15
Spa,0,12/03/2022,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,0
Aquaplex Pool Deck,0,12/07/2022,10:17 AM,0,10:17 AM,0,10:59 AM,2,10:59 AM,2,10:59 AM,2
Tennis Courts,0,12/06/2022,07:57 PM,0,07:57 PM,0,07:57 PM,0,07:57 PM,0,07:57 PM,0
Arc Floor One,10:01 AM,71,01:07 PM,93,01:07 PM,93,01:07 PM,02:15 PM,95,02:15 PM,95,10/02/2022
Climbing,07:03 AM,0,07:03 AM,0,07:03 AM,0,07:03 AM,02:15 PM,19,02:15 PM,19,09/26/2022
Arc Olympic Lifting Zones,10:01 AM,29,01:07 PM,47,01:07 PM,47,01:07 PM,02:15 PM,56,02:15 PM,56,10/02/2022
Arc Floor Two,10:01 AM,42,01:07 PM,53,01:07 PM,53,01:07 PM,02:15 PM,85,02:15 PM,85,10/02/2022
South Court,09:32 AM,0,01:07 PM,0,01:07 PM,0,01:07 PM,02:15 PM,0,02:15 PM,0,10/02/2022
Four Court Gym,09:32 AM,3,01:07 PM,9,01:07 PM,9,01:07 PM,02:15 PM,19,02:15 PM,19,10/02/2022
North Court,09:32 AM,0,01:07 PM,0,01:07 PM,0,01:07 PM,02:15 PM,5,02:15 PM,5,10/02/2022
Recreation Pool,12:02 PM,2,12:02 PM,2,01:26 PM,3,01:26 PM,01:26 PM,3,02:39 PM,0,12/07/2022
Competition Pool,12:02 PM,4,12:02 PM,4,01:26 PM,5,01:26 PM,01:26 PM,5,02:39 PM,14,12/07/2022
Arc Express,11:35 AM,15,01:04 PM,18,01:04 PM,18,01:30 PM,01:30 PM,18,01:30 PM,18,12/07/2022
Spa,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,03:19 PM,0,03:19 PM,0,12/03/2022
Aquaplex Pool Deck,12:02 PM,6,12:02 PM,6,01:26 PM,1,01:26 PM,01:26 PM,1,02:39 PM,3,12/07/2022
Tennis Courts,07:57 PM,0,07:57 PM,0,07:57 PM,0,07:57 PM,07:57 PM,0,07:57 PM,0,12/06/2022
Arc Floor One,01:15 PM,66,03:02 PM,94,03:02 PM,94,03:02 PM,94,03:02 PM,94,03:02 PM,94
Climbing,05:15 PM,13,03:02 PM,17,03:02 PM,17,03:02 PM,17,03:02 PM,17,03:02 PM,17
Arc Olympic Lifting Zones,01:15 PM,23,03:02 PM,51,03:02 PM,51,03:02 PM,51,03:02 PM,51,03:02 PM,51
Arc Floor Two,01:15 PM,46,03:02 PM,76,03:02 PM,76,03:02 PM,76,03:02 PM,76,03:02 PM,76
South Court,01:15 PM,0,03:02 PM,0,03:02 PM,0,03:02 PM,0,03:02 PM,0,03:02 PM,0
Four Court Gym,01:15 PM,7,03:02 PM,24,03:02 PM,24,03:02 PM,24,03:02 PM,24,03:02 PM,24
North Court,01:15 PM,0,03:02 PM,0,03:02 PM,0,03:02 PM,0,03:02 PM,0,03:02 PM,0
Recreation Pool,02:39 PM,0,02:39 PM,0,02:39 PM,0,04:07 PM,2,04:07 PM,2,04:07 PM,2
Competition Pool,02:39 PM,14,02:39 PM,14,02:39 PM,14,04:07 PM,0,04:07 PM,0,04:07 PM,0
Arc Express,01:30 PM,18,03:05 PM,21,03:55 PM,23,03:55 PM,23,04:31 PM,26,05:01 PM,27
Spa,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,0
Aquaplex Pool Deck,02:39 PM,3,02:39 PM,3,02:39 PM,3,04:07 PM,2,04:07 PM,2,04:07 PM,2
Tennis Courts,07:57 PM,0,07:57 PM,0,07:57 PM,0,07:57 PM,0,07:57 PM,0,07:57 PM,0
Arc Floor One,05:11 PM,126,05:11 PM,126,06:08 PM,126,12/07/2022,06:08 PM,126,06:08 PM,126,06:08 PM
Climbing,05:11 PM,20,05:11 PM,20,06:08 PM,21,12/07/2022,06:08 PM,21,06:08 PM,21,06:08 PM
Arc Olympic Lifting Zones,05:11 PM,57,05:11 PM,57,06:08 PM,60,12/07/2022,06:08 PM,60,06:08 PM,60,06:08 PM
Arc Floor Two,05:11 PM,91,05:11 PM,91,06:08 PM,105,12/07/2022,06:08 PM,105,06:08 PM,105,06:08 PM
South Court,03:02 PM,0,03:02 PM,0,06:08 PM,0,12/07/2022,06:08 PM,0,06:08 PM,0,06:08 PM
Four Court Gym,05:11 PM,26,05:11 PM,26,06:08 PM,33,12/07/2022,06:08 PM,33,06:08 PM,33,06:08 PM
North Court,05:11 PM,3,05:11 PM,3,06:08 PM,4,12/07/2022,06:08 PM,4,06:08 PM,4,06:08 PM
Recreation Pool,04:07 PM,2,04:07 PM,2,04:07 PM,2,12/07/2022,06:12 PM,0,06:12 PM,0,06:12 PM
Competition Pool,04:07 PM,0,04:07 PM,0,04:07 PM,0,12/07/2022,06:12 PM,1,06:12 PM,1,06:12 PM
Arc Express,05:01 PM,27,05:32 PM,26,06:02 PM,25,12/07/2022,06:02 PM,25,07:30 PM,15,07:30 PM
Spa,03:19 PM,0,03:19 PM,0,03:19 PM,0,12/03/2022,03:19 PM,0,03:19 PM,0,03:19 PM
Aquaplex Pool Deck,04:07 PM,2,04:07 PM,2,04:07 PM,2,12/07/2022,06:12 PM,2,06:12 PM,2,08:11 PM
Tennis Courts,07:57 PM,0,07:57 PM,0,07:57 PM,0,12/07/2022,06:12 PM,0,06:12 PM,0,08:11 PM
Arc Floor One,126,06:08 PM,126,06:08 PM,126,06:08 PM,126,09:23 PM,128,09:23 PM,128,10:10 PM
Climbing,21,06:08 PM,21,06:08 PM,21,06:08 PM,21,06:08 PM,21,06:08 PM,21,10:10 PM
Arc Olympic Lifting Zones,60,06:08 PM,60,06:08 PM,60,06:08 PM,60,09:23 PM,53,09:23 PM,53,10:10 PM
Arc Floor Two,105,06:08 PM,105,06:08 PM,105,06:08 PM,105,09:23 PM,74,09:23 PM,74,10:10 PM
South Court,0,06:08 PM,0,06:08 PM,0,06:08 PM,0,09:23 PM,0,09:23 PM,0,10:10 PM
Four Court Gym,33,06:08 PM,33,06:08 PM,33,06:08 PM,33,09:23 PM,78,09:23 PM,78,10:10 PM
North Court,4,06:08 PM,4,06:08 PM,4,06:08 PM,4,09:23 PM,9,09:23 PM,9,10:10 PM
Recreation Pool,0,06:12 PM,0,06:12 PM,0,09:02 PM,0,09:02 PM,0,09:02 PM,0,09:02 PM
Competition Pool,1,06:12 PM,1,06:12 PM,1,09:02 PM,0,09:02 PM,0,09:02 PM,0,09:02 PM
Arc Express,15,08:40 PM,20,08:59 PM,19,08:59 PM,19,09:29 PM,12,10:00 PM,0,10:00 PM
Spa,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM,0,03:19 PM
Aquaplex Pool Deck,1,08:11 PM,1,08:11 PM,1,09:02 PM,0,09:02 PM,0,09:02 PM,0,09:02 PM
Tennis Courts,0,08:11 PM,0,08:11 PM,0,08:11 PM,0,08:11 PM,0,08:11 PM,0,08:11 PM
Arc Floor One,83,11:20 PM,67,12/08/2022,05:34 AM,17,06:04 AM,34,07:24 AM,49,08:05 AM,42
Climbing,0,10:10 PM,0,12/07/2022,10:10 PM,0,10:10 PM,0,10:10 PM,0,10:10 PM,0
Arc Olympic Lifting Zones,39,11:20 PM,28,12/08/2022,05:34 AM,12,06:04 AM,22,07:24 AM,36,08:05 AM,21
